id,Age,Sexe,Ethnie,Etat,Signes de maladie mentale,Niveau de menace,Fuite,Camera corporelle,Categorie arme,Mois,Year,Jour du mois,Blanc,Noir,Hispanique,Natif,Asiatique,Autre
111,39,F,Blanc,NE,1,Attaque,Pas de fuite,0,Objets tranchants,1,2015,27,0.79,0.04,0.11,0.01,0.02,0.03
348,26,M,Natif,AZ,0,Autre,Pas de fuite,0,Autre,1,2015,27,0.54,0.04,0.32,0.04,0.03,0.02
349,29,M,Blanc,AZ,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,27,0.54,0.04,0.32,0.04,0.03,0.02
350,33,M,Noir,OH,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,27,0.79,0.12,0.04,0.0,0.02,0.03
345,45,M,Blanc,TX,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,28,0.41,0.12,0.4,0.0,0.05,0.02
347,26,M,Blanc,TX,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,28,0.41,0.12,0.4,0.0,0.05,0.02
346,35,M,Asiatique,CA,1,Attaque,Pas de fuite,0,Autre,1,2015,28,0.37,0.05,0.39,0.0,0.15,0.03
112,31,M,Blanc,MI,1,Attaque,Pas de fuite,0,Arme a feu,1,2015,29,0.75,0.14,0.05,0.0,0.03,0.03
342,42,M,Blanc,OK,0,Autre,A pied,0,Non Armé,1,2015,29,0.65,0.07,0.11,0.08,0.02,0.07
113,48,M,Blanc,MT,0,Attaque,A pied,0,Arme a feu,1,2015,30,0.86,0.0,0.04,0.06,0.01,0.03
338,31,M,Hispanique,TX,0,Attaque,Pas de fuite,0,Arme a feu,1,2015,31,0.41,0.12,0.4,0.0,0.05,0.02
339,54,M,Noir,MD,1,Autre,Pas de fuite,0,Objets tranchants,1,2015,31,0.5,0.29,0.1,0.0,0.06,0.03
114,59,M,Blanc,PA,0,Autre,A pied,0,Non Armé,2,2015,2,0.76,0.1,0.08,0.0,0.04,0.02
115,42,M,Blanc,CA,1,Attaque,Pas de fuite,0,Arme a feu,2,2015,2,0.37,0.05,0.39,0.0,0.15,0.03
528,17,M,Blanc,MI,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,2,0.75,0.14,0.05,0.0,0.03,0.03
117,23,M,Noir,MO,0,Attaque,A pied,0,Arme a feu,2,2015,3,0.8,0.11,0.04,0.0,0.02,0.03
118,38,F,Noir,CA,0,Attaque,En voiture,0,Arme a feu,2,2015,3,0.37,0.05,0.39,0.0,0.15,0.03
119,29,M,Noir,CA,1,Autre,Pas de fuite,0,Objets tranchants,2,2015,3,0.37,0.05,0.39,0.0,0.15,0.03
120,45,M,Blanc,GA,1,Attaque,Pas de fuite,0,Arme a feu,2,2015,3,0.52,0.31,0.1,0.0,0.04,0.02
116,28,M,Noir,FL,0,Attaque,Pas de fuite,0,Non Armé,2,2015,4,0.53,0.15,0.26,0.0,0.03,0.02
123,37,M,Hispanique,FL,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,4,0.53,0.15,0.26,0.0,0.03,0.02
124,28,M,Hispanique,AZ,0,Attaque,En voiture,0,Arme a feu,2,2015,4,0.54,0.04,0.32,0.04,0.03,0.02
125,28,M,Hispanique,AZ,0,Autre,Pas de fuite,0,Non Armé,2,2015,4,0.54,0.04,0.32,0.04,0.03,0.02
126,51,M,Noir,TX,0,Attaque,En voiture,0,Arme a feu,2,2015,4,0.41,0.12,0.4,0.0,0.05,0.02
